Email,First Name,Last Name,Course ID,Grade,Marks
student0@mail.com,First0,Last0,103,D,56
student0@mail.com,First0,Last0,104,C,69
student0@mail.com,First0,Last0,101,A+,99
student0@mail.com,First0,Last0,102,F,42
student1@mail.com,First1,Last1,103,A+,91
student1@mail.com,First1,Last1,104,C,68
student1@mail.com,First1,Last1,102,D,51
student1@mail.com,First1,Last1,101,A,99
student2@mail.com,First2,Last2,104,B,75
student2@mail.com,First2,Last2,101,F,41
student2@mail.com,First2,Last2,103,D,55
student2@mail.com,First2,Last2,102,D,53
student3@mail.com,First3,Last3,101,A,86
student3@mail.com,First3,Last3,103,B,74
student3@mail.com,First3,Last3,104,F,48
student3@mail.com,First3,Last3,102,C,68
student4@mail.com,First4,Last4,101,C,61
student4@mail.com,First4,Last4,103,C,60
student4@mail.com,First4,Last4,104,F,40
student4@mail.com,First4,Last4,102,B,71
student5@mail.com,First5,Last5,102,B,71
student5@mail.com,First5,Last5,104,D,50
student5@mail.com,First5,Last5,103,A,80
student5@mail.com,First5,Last5,101,C,66
student6@mail.com,First6,Last6,102,B,77
student6@mail.com,First6,Last6,101,B,74
student6@mail.com,First6,Last6,103,C,69
student6@mail.com,First6,Last6,104,B,76
student7@mail.com,First7,Last7,101,D,56
student7@mail.com,First7,Last7,102,C,60
student7@mail.com,First7,Last7,104,F,48
student7@mail.com,First7,Last7,103,A+,91
student8@mail.com,First8,Last8,102,A,83
student8@mail.com,First8,Last8,101,A+,92
student8@mail.com,First8,Last8,104,A,80
student8@mail.com,First8,Last8,103,D,50
student9@mail.com,First9,Last9,101,C,61
student9@mail.com,First9,Last9,103,A,87
student9@mail.com,First9,Last9,102,D,52
student9@mail.com,First9,Last9,104,B,72
student10@mail.com,First10,Last10,102,D,59
student10@mail.com,First10,Last10,101,A+,99
student10@mail.com,First10,Last10,104,B,79
student10@mail.com,First10,Last10,103,A+,99
student11@mail.com,First11,Last11,102,A+,93
student11@mail.com,First11,Last11,101,D,52
student11@mail.com,First11,Last11,104,F,45
student11@mail.com,First11,Last11,103,F,41
student12@mail.com,First12,Last12,102,F,49
student12@mail.com,First12,Last12,103,A+,98
student12@mail.com,First12,Last12,104,F,44
student12@mail.com,First12,Last12,101,B,70
student13@mail.com,First13,Last13,102,C,62
student13@mail.com,First13,Last13,103,F,41
student13@mail.com,First13,Last13,104,C,66
student13@mail.com,First13,Last13,101,A,89
student14@mail.com,First14,Last14,102,B,79
student14@mail.com,First14,Last14,104,F,41
student14@mail.com,First14,Last14,103,A+,94
student14@mail.com,First14,Last14,101,A,88
student15@mail.com,First15,Last15,101,B,78
student15@mail.com,First15,Last15,104,A+,91
student15@mail.com,First15,Last15,102,A,81
student15@mail.com,First15,Last15,103,F,49
student16@mail.com,First16,Last16,102,A,89
student16@mail.com,First16,Last16,103,C,69
student16@mail.com,First16,Last16,101,A,83
student16@mail.com,First16,Last16,104,A+,93
student17@mail.com,First17,Last17,101,A+,98
student17@mail.com,First17,Last17,102,C,68
student17@mail.com,First17,Last17,104,C,62
student17@mail.com,First17,Last17,103,B,73
student18@mail.com,First18,Last18,102,A+,96
student18@mail.com,First18,Last18,101,A+,91
student18@mail.com,First18,Last18,104,A,80
student18@mail.com,First18,Last18,103,A+,94
student19@mail.com,First19,Last19,104,F,46
student19@mail.com,First19,Last19,102,A,89
student19@mail.com,First19,Last19,101,F,45
student19@mail.com,First19,Last19,103,A,87
student20@mail.com,First20,Last20,104,C,69
student20@mail.com,First20,Last20,103,F,41
student20@mail.com,First20,Last20,102,F,41
student20@mail.com,First20,Last20,101,A,82
student21@mail.com,First21,Last21,101,C,66
student21@mail.com,First21,Last21,102,B,74
student21@mail.com,First21,Last21,103,A+,100
student21@mail.com,First21,Last21,104,A+,94
student22@mail.com,First22,Last22,103,C,69
student22@mail.com,First22,Last22,101,A+,93
student22@mail.com,First22,Last22,104,A,85
student22@mail.com,First22,Last22,102,A,81
student23@mail.com,First23,Last23,101,A,80
student23@mail.com,First23,Last23,103,C,62
student23@mail.com,First23,Last23,104,D,57
student23@mail.com,First23,Last23,102,D,50
student24@mail.com,First24,Last24,101,C,67
student24@mail.com,First24,Last24,104,F,49
student24@mail.com,First24,Last24,103,C,64
student24@mail.com,First24,Last24,102,C,60
student25@mail.com,First25,Last25,104,B,77
student25@mail.com,First25,Last25,103,C,64
student25@mail.com,First25,Last25,102,A,85
student25@mail.com,First25,Last25,101,C,60
student26@mail.com,First26,Last26,104,C,68
student26@mail.com,First26,Last26,103,D,56
student26@mail.com,First26,Last26,101,B,73
student26@mail.com,First26,Last26,102,A+,91
student27@mail.com,First27,Last27,104,A+,94
student27@mail.com,First27,Last27,102,C,63
student27@mail.com,First27,Last27,101,F,40
student27@mail.com,First27,Last27,103,B,79
student28@mail.com,First28,Last28,104,F,40
student28@mail.com,First28,Last28,102,A+,94
student28@mail.com,First28,Last28,103,A,80
student28@mail.com,First28,Last28,101,F,46
student29@mail.com,First29,Last29,104,A,84
student29@mail.com,First29,Last29,103,F,42
student29@mail.com,First29,Last29,101,A+,92
student29@mail.com,First29,Last29,102,C,62
student30@mail.com,First30,Last30,102,A+,97
student30@mail.com,First30,Last30,104,A,84
student30@mail.com,First30,Last30,103,A+,93
student30@mail.com,First30,Last30,101,D,52
student31@mail.com,First31,Last31,102,B,70
student31@mail.com,First31,Last31,101,F,46
student31@mail.com,First31,Last31,104,F,48
student31@mail.com,First31,Last31,103,A+,98
student32@mail.com,First32,Last32,101,A+,99
student32@mail.com,First32,Last32,102,A,89
student32@mail.com,First32,Last32,104,A+,90
student32@mail.com,First32,Last32,103,D,51
student33@mail.com,First33,Last33,103,A+,92
student33@mail.com,First33,Last33,104,A+,92
student33@mail.com,First33,Last33,101,D,54
student33@mail.com,First33,Last33,102,F,49
student34@mail.com,First34,Last34,102,F,49
student34@mail.com,First34,Last34,103,F,45
student34@mail.com,First34,Last34,101,A,81
student34@mail.com,First34,Last34,104,F,40
student35@mail.com,First35,Last35,101,F,46
student35@mail.com,First35,Last35,102,D,59
student35@mail.com,First35,Last35,103,A+,90
student35@mail.com,First35,Last35,104,F,45
student36@mail.com,First36,Last36,104,A+,98
student36@mail.com,First36,Last36,101,F,42
student36@mail.com,First36,Last36,102,B,74
student36@mail.com,First36,Last36,103,B,76
student37@mail.com,First37,Last37,101,B,75
student37@mail.com,First37,Last37,104,D,56
student37@mail.com,First37,Last37,103,A+,91
student37@mail.com,First37,Last37,102,A+,94
student38@mail.com,First38,Last38,104,B,78
student38@mail.com,First38,Last38,102,A+,99
student38@mail.com,First38,Last38,103,A,85
student38@mail.com,First38,Last38,101,A,86
student39@mail.com,First39,Last39,103,F,40
student39@mail.com,First39,Last39,102,A+,94
student39@mail.com,First39,Last39,104,C,64
student39@mail.com,First39,Last39,101,F,42
student40@mail.com,First40,Last40,101,D,55
student40@mail.com,First40,Last40,103,B,74
student40@mail.com,First40,Last40,102,F,43
student40@mail.com,First40,Last40,104,A+,91
student41@mail.com,First41,Last41,101,B,73
student41@mail.com,First41,Last41,103,D,59
student41@mail.com,First41,Last41,102,B,74
student41@mail.com,First41,Last41,104,F,43
student42@mail.com,First42,Last42,103,C,68
student42@mail.com,First42,Last42,104,F,43
student42@mail.com,First42,Last42,101,A+,97
student42@mail.com,First42,Last42,102,F,44
student43@mail.com,First43,Last43,104,A,85
student43@mail.com,First43,Last43,103,D,51
student43@mail.com,First43,Last43,102,B,77
student43@mail.com,First43,Last43,101,D,57
student44@mail.com,First44,Last44,101,F,40
student44@mail.com,First44,Last44,104,A,81
student44@mail.com,First44,Last44,103,A,83
student44@mail.com,First44,Last44,102,D,58
student45@mail.com,First45,Last45,101,C,64
student45@mail.com,First45,Last45,104,A+,93
student45@mail.com,First45,Last45,102,C,68
student45@mail.com,First45,Last45,103,B,75
student46@mail.com,First46,Last46,102,C,66
student46@mail.com,First46,Last46,101,A,84
student46@mail.com,First46,Last46,103,A+,93
student46@mail.com,First46,Last46,104,F,46
student47@mail.com,First47,Last47,103,F,42
student47@mail.com,First47,Last47,104,F,42
student47@mail.com,First47,Last47,102,A+,98
student47@mail.com,First47,Last47,101,A+,98
student48@mail.com,First48,Last48,103,B,79
student48@mail.com,First48,Last48,102,C,64
student48@mail.com,First48,Last48,101,A+,90
student48@mail.com,First48,Last48,104,C,68
student49@mail.com,First49,Last49,102,C,62
student49@mail.com,First49,Last49,104,B,77
student49@mail.com,First49,Last49,101,D,53
student49@mail.com,First49,Last49,103,B,70
student50@mail.com,First50,Last50,103,D,52
student50@mail.com,First50,Last50,102,A,80
student50@mail.com,First50,Last50,104,B,77
student50@mail.com,First50,Last50,101,A+,90
student51@mail.com,First51,Last51,101,A+,100
student51@mail.com,First51,Last51,104,B,77
student51@mail.com,First51,Last51,103,A+,95
student51@mail.com,First51,Last51,102,A,80
student52@mail.com,First52,Last52,101,C,67
student52@mail.com,First52,Last52,102,A+,99
student52@mail.com,First52,Last52,103,C,63
student52@mail.com,First52,Last52,104,A+,90
student53@mail.com,First53,Last53,103,A+,90
student53@mail.com,First53,Last53,101,D,53
student53@mail.com,First53,Last53,104,D,51
student53@mail.com,First53,Last53,102,A+,100
student54@mail.com,First54,Last54,102,A,82
student54@mail.com,First54,Last54,104,A,89
student54@mail.com,First54,Last54,101,A,89
student54@mail.com,First54,Last54,103,B,71
student55@mail.com,First55,Last55,101,C,64
student55@mail.com,First55,Last55,103,B,77
student55@mail.com,First55,Last55,102,F,40
student55@mail.com,First55,Last55,104,D,55
student56@mail.com,First56,Last56,102,F,47
student56@mail.com,First56,Last56,101,C,61
student56@mail.com,First56,Last56,104,D,50
student56@mail.com,First56,Last56,103,D,50
student57@mail.com,First57,Last57,104,F,45
student57@mail.com,First57,Last57,103,A+,99
student57@mail.com,First57,Last57,102,A,86
student57@mail.com,First57,Last57,101,D,54
student58@mail.com,First58,Last58,102,A,81
student58@mail.com,First58,Last58,104,C,67
student58@mail.com,First58,Last58,103,A,87
student58@mail.com,First58,Last58,101,F,47
student59@mail.com,First59,Last59,104,B,75
student59@mail.com,First59,Last59,102,A+,92
student59@mail.com,First59,Last59,103,C,67
student59@mail.com,First59,Last59,101,F,41
student60@mail.com,First60,Last60,102,D,55
student60@mail.com,First60,Last60,101,D,59
student60@mail.com,First60,Last60,103,C,69
student60@mail.com,First60,Last60,104,A+,94
student61@mail.com,First61,Last61,104,C,66
student61@mail.com,First61,Last61,102,A+,91
student61@mail.com,First61,Last61,101,D,54
student61@mail.com,First61,Last61,103,D,57
student62@mail.com,First62,Last62,104,B,77
student62@mail.com,First62,Last62,101,C,66
student62@mail.com,First62,Last62,102,A,85
student62@mail.com,First62,Last62,103,A+,92
student63@mail.com,First63,Last63,102,A+,100
student63@mail.com,First63,Last63,104,A,81
student63@mail.com,First63,Last63,103,F,44
student63@mail.com,First63,Last63,101,A+,91
student64@mail.com,First64,Last64,103,A,84
student64@mail.com,First64,Last64,102,A,84
student64@mail.com,First64,Last64,104,D,54
student64@mail.com,First64,Last64,101,C,68
student65@mail.com,First65,Last65,102,A+,96
student65@mail.com,First65,Last65,104,D,51
student65@mail.com,First65,Last65,101,D,52
student65@mail.com,First65,Last65,103,C,67
student66@mail.com,First66,Last66,102,C,63
student66@mail.com,First66,Last66,101,A+,91
student66@mail.com,First66,Last66,103,A+,90
student66@mail.com,First66,Last66,104,D,59
student67@mail.com,First67,Last67,104,A+,94
student67@mail.com,First67,Last67,103,B,78
student67@mail.com,First67,Last67,101,C,67
student67@mail.com,First67,Last67,102,B,72
student68@mail.com,First68,Last68,101,F,44
student68@mail.com,First68,Last68,104,A,88
student68@mail.com,First68,Last68,103,B,73
student68@mail.com,First68,Last68,102,C,69
student69@mail.com,First69,Last69,104,A+,98
student69@mail.com,First69,Last69,102,A,84
student69@mail.com,First69,Last69,101,A+,99
student69@mail.com,First69,Last69,103,B,73
student70@mail.com,First70,Last70,104,A,86
student70@mail.com,First70,Last70,101,F,41
student70@mail.com,First70,Last70,102,B,74
student70@mail.com,First70,Last70,103,B,74
student71@mail.com,First71,Last71,103,D,51
student71@mail.com,First71,Last71,104,A,89
student71@mail.com,First71,Last71,102,A,80
student71@mail.com,First71,Last71,101,D,50
student72@mail.com,First72,Last72,104,A+,99
student72@mail.com,First72,Last72,101,D,54
student72@mail.com,First72,Last72,102,B,73
student72@mail.com,First72,Last72,103,A,89
student73@mail.com,First73,Last73,103,B,70
student73@mail.com,First73,Last73,104,D,56
student73@mail.com,First73,Last73,102,A,86
student73@mail.com,First73,Last73,101,B,73
student74@mail.com,First74,Last74,102,D,53
student74@mail.com,First74,Last74,103,B,73
student74@mail.com,First74,Last74,104,D,55
student74@mail.com,First74,Last74,101,F,45
student75@mail.com,First75,Last75,103,A+,94
student75@mail.com,First75,Last75,104,B,73
student75@mail.com,First75,Last75,101,A,82
student75@mail.com,First75,Last75,102,A,87
student76@mail.com,First76,Last76,103,D,51
student76@mail.com,First76,Last76,104,C,61
student76@mail.com,First76,Last76,102,A,88
student76@mail.com,First76,Last76,101,F,48
student77@mail.com,First77,Last77,103,A+,96
student77@mail.com,First77,Last77,104,A,82
student77@mail.com,First77,Last77,102,B,73
